;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
Krzyki - Partynice;KANIASTY EUGENIUSZ MAREK ;69;ENERGETYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;KWIECIE— MIECZYS£AW  ;74;MECHANIK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;MATECKI IWO KAROL ;35;WYØSZE ; 
Krzyki - Partynice;MICHALSKA ALICJA  ;72;INØYNIER URZ•DZE— SANITARNYCH ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;OLEJNIK BEATA JOANNA ;27;PRAWNIK ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;OP£OCKA URSZULA  ;54;DYREKTOR SZKO£Y ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;PI•TKOWSKI WOJCIECH JAKUB ;36;INFORMATYK ;
Krzyki - Partynice;PISZEL ANDRZEJ JUSTYN ;68;INFORMATYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;SUPERSON-WINKOWSKA AGNIESZKA ZOFIA ;34;RADCA PRAWNY ; 
Krzyki - Partynice;SYCZ TERESA  ;56;MENADØER ; 
Krzyki - Partynice;SZCZEPARA £UKASZ  ;32;SPECJALISTA DS. PUBLIC RELATIONS ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;SZOSLER KAZIMIERZ MARIAN ;80;ELEKTRYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;URBA—SKI FLORIAN JOHANNES ;36;WYØSZE ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;WINKOWSKI MARCIN  ;38;ARCHITEKT ; 
Krzyki - Partynice;WOJTERA MARCIN  ;23;STUDENT ;NASZE OSIEDLE KRZYKI-PARTYNICE
Krzyki - Partynice;WOJTYCZKA AGNIESZKA  ;32;FIZJOTERAPEUTA ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;ØAK MARIAN  ;70;EMERYT ;
KsiÍøe;BRY£KA S£AWOMIR  ;31;WYØSZE ; 
KsiÍøe;BRY£KA TERESA MARIA ;60;RENCISTKA ; 
KsiÍøe;CHOINKA BARBARA MA£GORZATA ;39;WYØSZE ; 
KsiÍøe;DEMK”W KRZYSZTOF  ;51;MECHANIK SAMOCHODOWY ; 
KsiÍøe;FIGIEL FRANCISZEK JERZY ;33;WYØSZE ; 
KsiÍøe;FORTUNA MARZENA  ;43;KRAWCOWA ; 
KsiÍøe;JOD£OWSKI DARIUSZ JAN ;55;åREDNIE ; 
KsiÍøe;JURASZ WIES£AW EDWARD ;59;EKONOMISTA ; 
KsiÍøe;KLISZCZAK JACEK ADAM ;64;åREDNIE ; 
KsiÍøe;K£ODNICKI WALDEMAR JACEK ;66;WYØSZE ; 
KsiÍøe;KMIE∆ ARKADIUSZ JULIAN ;32;DORADCA TECHNICZNY ; 
KsiÍøe;KRAWC”W MAREK  ;45;WYØSZE ; 
KsiÍøe;KUCZYKOWSKI RAFA£ JAN ;36;WYØSZE ; 
KsiÍøe;£ABUDA IRENEUSZ £UKASZ ;66;INØYNIER G”RNIK ; 
KsiÍøe;M•CARZ DARIUSZ  ;28;MENEDØER KULTURY ; 
KsiÍøe;R KAWIK ROBERT MARIAN ;51;åREDNIE ; 
KsiÍøe;STUDNIARCZYK WITOLD JAN ;55;TRENER SPADOCHRONOWY ; 
KsiÍøe;TRZCI—SKA EWA BARBARA ;60;EMERYTKA ; 
KsiÍøe;ZDANOWICZ ZOFIA ANTONINA ;56;åREDNIE ; 
Kuüniki;BISKUP WOJCIECH BOGDAN ;37;WYØSZE ;NASZE-KUèNIKI 
Kuüniki;DUCZEMI—SKI DARIUSZ  ;40;MECHANIK SAMOCHODOWY ;NASZE-KUèNIKI 
Kuüniki;JAKUBOWSKA STANIS£AWA  ;63;EMERYTKA ;NASZE-KUèNIKI 
Kuüniki;NOWAKOWSKA PATRYCJA EWA ;38;PEDAGOG ;KUèNIKI WROC£AW 
Kuüniki;PERS MICHA£ TOMASZ ;32;PRAWNIK ; 
Kuüniki;RACHALEWSKA £UCJA  ;70;EMERTYKA ;NASZE-KUèNIKI 
Kuüniki;SOBCZY—SKA-BARON RENATA  ;64;EMERYTKA ;NASZE-KUèNIKI 
Kuüniki;BOØEK DOROTA  ;56;TECHNIK ADMINISTRACJI ;NASZE KUèNIKI 
Kuüniki;DZIEKAN WALDEMAR  ;42;åREDNIE ;NASZE KUèNIKI 
Kuüniki;GARBICZ ADAM  ;44;åREDNIE TECHNICZNE ;NASZE KUèNIKI 
Kuüniki;GROCHOLSKI STANIS£AW  ;69;EMERYT ;NASZE KUèNIKI 
Kuüniki;HABA HENRYK  ;74;EMERYT ;NASZE KUèNIKI 
Kuüniki;J DRYCHA MARIA  ;78;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;POTACZEK DANUTA  ;66;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;ST PIE— ELØBIETA  ;67;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;SUTKOWSKI ZYGMUNT  ;81;EMERYT ;NASZE KUèNIKI 
Kuüniki;W”JCIK BOØENA  ;61;TECHNIK BUDOWLANY ;NASZE KUèNIKI 
Leúnica;BARSKI JACEK DIONIZY ;52;INFORMATYK ;RAZEM DLA OSIEDLI 
Leúnica;JANCZAK DAMIAN  ;31;URBANISTA ;RAZEM DLA OSIEDLI 
Leúnica;K SO— ARKADIUSZ TOMASZ ;39;PRACOWNIK BIUROWY DZIA£U LOGISTYKI ;#LEPSZA LEåNICA 
Leúnica;KU£ACZ JAN ANDRZEJ ;59;ELEKTRONIK ;RAZEM DLA OSIEDLI 
Leúnica;MIEDZI—SKA ELØBIETA  ;65;URZ DNIK ADMINISTRACJI-EMERYT ;RAZEM DLA OSIEDLI 
Leúnica;PIELA BRONIS£AW  ;68;åLUSARZ-EMERYT ;RAZEM DLA OSIEDLI 
Leúnica;PIETRO—SKA ANNA MARIA ;39;ADWOKAT ;#LEPSZA LEåNICA 
Leúnica;PISKORSKI J”ZEF  ;62;URZ DNIK ADMINISTRACJI ;RAZEM DLA OSIEDLI 
Leúnica;RUSINEK MARIUSZ JERZY ;44;INØYNIER BUDOWNICTWA ;PARTIA ZIELONI 
Leúnica;RYDZ SEBASTIAN TOMASZ ;28;PRZEDSI BIORCA ; 
Leúnica;SKRYPAK KRZYSZTOF  ;52;SPECJALISTA DS. SPRZEDAØY ;RAZEM DLA OSIEDLI 
Leúnica;åNIEØEK MATEUSZ £UKASZ ;30;FIZJOTERAPEUTA ;RAZEM DLA OSIEDLI 
Leúnica;D•BROWSKA WANDA  ;65;WYØSZE PEDAGOGIKA ;OPTYMISTYCZNI Z£OTNICZANIE 
Leúnica;LISOWSKA JOANNA DOROTA ;49;TECHNIK OGRODNIK ; 
Leúnica;MICHALAK BARTOSZ MATEUSZ ;36;TECHNIK HANDLOWIEC ; 
Leúnica;P£ATEK ROMAN  ;53;BIBLIOTEKARZ ;BEZPARTYJNY WROC£AW 
Leúnica;PRZYSTAå TOMASZ ZBIGNIEW ;44;INFORMATYK ; 
Leúnica;ROHATY—SKI TADEUSZ  ;72;WYØSZE INØYNIER ; 
Leúnica;WOJCIECHOWSKI ZBIGNIEW  ;58;INØ. BUDOWNICTWA ; 
Leúnica;BRODZKA MONIKA JOLANTA ;37;ARCHITEKT KRAJOBRAZU ; 
Leúnica;CIEåLIK MARIAN ADAM ;72;PRAWNIK ;NIEZALEØNI 
Leúnica;DESKA URSZULA ALEKSANDRA ;66;åREDNIE ;NIEZALEØNI 
Leúnica;KRZAK ELØBIETA JADWIGA ;60;WYØSZE ;NIEZALEØNI 
Leúnica;MOL DA TERESA BARBARA ;61;WYØSZE ;NIEZALEØNI 
Leúnica;NOWAK KAMIL PIOTR ;27;WYØSZE ;NIEZALEØNI 
Leúnica;PIENI•ØCZAK IZABELA WANDA ;22;WYØSZE ;NIEZALEØNI 
Leúnica;PTAK AGNIESZKA KATARZYNA ;33;WYØSZE ; 
Leúnica;ROJEK BARTOSZ JAN ;35;WYØSZE ; 
Leúnica;SZCZ SNY £UKASZ W£ADYS£AW ;31;åREDNIE ; 
Leúnica;SZPIEGOWSKI JAKUB  ;31;ZARZ•DCA NIERUCHOMOåCI ; 
Lipa Piotrowska;CEGIE£A ELØBIETA IWONA ;53;BIBLIOTEKARZ ; 
Lipa Piotrowska;CHMIEL TERESA  ;57;PRACOWNIK UMYS£OWY ; 
Lipa Piotrowska;CHWEDOROWICZ J”ZEF  ;67;TECHNIK GEODETA ; 
Lipa Piotrowska;CIEåLIK GRZEGORZ  ;27; ; 
Lipa Piotrowska;JAWORSKI MARIUSZ PIOTR ;49;INØYNIER ; 
Lipa Piotrowska;KOWALSKI PRZEMYS£AW PIOTR ;36;KONSTRUKTOR ; 
Lipa Piotrowska;KRUPA ALEKSANDRA ALICJA ;33;KIEROWNIK PROJEKTU ; 
Lipa Piotrowska;KUBACKA MARIA TERESA ;62;EMERYT ; 
Lipa Piotrowska;LEOSZKIEWICZ-ØYGAD£O JUSTYNA MARTA ;28;WYØSZE- FINANSOWE ; 
Lipa Piotrowska;MAZUR JADWIGA  ;66;EMERYT ; 
Lipa Piotrowska;NOGALA MATEUSZ PIOTR ;26;PRAWNIK ; 
Lipa Piotrowska;NOWAK ARTUR KRZYSZTOF ;32;REGIONALNY KIEROWNIK SPRZEDAØY ; 
Lipa Piotrowska;PIG£OWSKI MARIUSZ ROMAN ;23; ; 
Lipa Piotrowska;RAK HELENA ELØBIETA ;72;EMERYT ; 
Lipa Piotrowska;R•CZKOWSKI JACEK ROBERT ;32;åREDNIE ; 
Lipa Piotrowska;SIKORSKA-NIEMIEC KRYSTYNA  ;59;ZAWODOWE ; 
Lipa Piotrowska;SUSZKO JANINA LUCYNA ;67;FARBIARZ ; 
Lipa Piotrowska;SYPEREK MARCIN MACIEJ ;43;WYØSZE ; 
Maúlice;G•SIECKI ROBERT MAREK ;36;åREDNIE ; 
Maúlice;KUNA TOMASZ  ;37;INFORMATYK ; 
Maúlice;KUNYSZ ROBERT  ;42;åREDNIE ; 
Maúlice;MASIAK JOANNA  ;36;KSI GOWA ; 
Maúlice;OLSZOWY MAJA KONSTANCJA ;23;STUDENTKA ; 
Maúlice;ROCHMI—SKI BARTOSZ B£AØEJ ;30;POLITOLOG ;S•SIEDZI Z MAåLIC 
Maúlice;RYBI—SKA MARTA MAGDALENA ;35;LABORANTKA ;BEZPARTYJNY WROC£AW 
Maúlice;STASIAK JOANNA  ;28;SPECJALISTA DS. WINDYKACJI ;S•SIEDZI Z MAåLIC 
Maúlice;SZYMCZAK-KORUSIEWICZ EWA OLGA ;33;URZ DNIK ;BEZPARTYJNY WROC£AW 
Maúlice;WITEK MAREK JAN ;32;EKONOMISTA ;BEZPARTYJNY WROC£AW 
Maúlice;WYSZOMIRSKA-PI”RO BOØENA  ;39;DORADCA KLIENTA ;BEZPARTYJNY WROC£AW 
Maúlice;CIERNIAK RENATA  ;37;BIBLIOTEKARKA ;KOLEKTYW POMYS£”W 
Maúlice;CWYNAR WALDEMAR GRZEGORZ ;46;WYØSZE ;S•SIEDZI Z MAåLIC 
Maúlice;CZERWI—SKI S£AWOMIR ANTONI ;31;WYK£ADOWCA ;TOWARZYSTWO UPI KSZANIA MIASTA WROC£AWIA 
Maúlice;DULINIEC BARBARA  ;42;SPECJALISTA DS. NIERUCHOMOåCI ; 
Maúlice;GUDERSKA IWONA MAGDALENA ;60;WYØSZE ADMINISTRACYJNE ; 
Maúlice;KOT MICHA£ SEBASTIAN ;32;WYØSZE ; 
Maúlice;LANGE GRAØYNA KRYSTYNA ;65;INØYNIER ENERGETYK ; 
Maúlice;MA—KOWSKI JAKUB JERZY ;33;KIEROWNIK ; 
Maúlice;MIARA PRZEMYS£AW OKTAWIAN ;39;WYØSZE ; 
Maúlice;MIELNICZEK KATARZYNA ELWIRA ;42;PIEL GNIARKA ;S•SIEDZI Z MAåLIC 
Maúlice;PAPROTA-BORAK MARIA  ;70;WYØSZE ;S•SIEDZI Z MAåLIC 
Maúlice;PATO£A TOMASZ ZYGMUNT ;37;INØYNIER INFORMATYK ;KOLEKTYW POMYS£”W 
Maúlice;RYCZEK GABRIELA  ;42;WYØSZE ;S•SIEDZI Z MAåLIC 
Maúlice;SMULIKOWSKI TADEUSZ MARIA ;72;INØYNIER CHEMIK ;KOLEKTYW POMYS£”W 
Maúlice;SOBCZAK MICHA£ ADAM ;39;ANALITYK ;KOLEKTYW POMYS£”W 
Maúlice;STELMASI—SKI MICHA£ GABRIEL ;30;DORADCA ; 
Maúlice;SZCZYGIE£ ALEKSANDRA KAROLINA ;30;WYØSZE ;S•SIEDZI Z MAåLIC 
Maúlice;SZCZYGIE£ KAROLINA MARIA ;26;WYØSZE ;S•SIEDZI Z MAåLIC 
Maúlice;SZPYRKO IRENA TERESA ;55;DORADCA ; 
Maúlice;SZRAJBER JAKUB  ;25;FIZJOTERAPEUTA ;BEZPARTYJNY WROC£AW 
Maúlice;TARCZY—SKA MAGDALENA  ;45;åREDNIE ;S•SIEDZI Z MAåLIC 
Maúlice;TARCZY—SKI KAMIL ROBERT ;22;åREDNIE ;S•SIEDZI Z MAåLIC 
Maúlice;WOJEWODA EWA  ;39;PRZEDSI BIORCA ;GRUPA DO SPRAW WBO 
Maúlice;WOJTK”W MARIUSZ STANIS£AW ;48;ELEKTRYK ;S•SIEDZI Z MAåLIC 
MuchobÛr Ma≥y;KRZYØOå KRZYSZTOF CYPRIAN ;37;PRZEDSTAWICIEL HANDLOWY ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;MIZURO ARTUR ROBERT ;41;TECHNIK BUDOWLANY ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;MONIETA MAREK ROBERT ;27;KSI GOWY ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;NOWAK URSZULA MARIA ;66;EMERYT ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;NYZ KRYSTIAN ANDRZEJ ;37;PRZEDSI BIORCA ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;PARTYKA WOJCIECH ANDRZEJ ;34;INFORMATYK ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;POLISZUK PIOTR ROMAN ;27;MANAGER ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;SK”RZY—SKA MA£GORZATA JUSTYNA ;31;NAUCZYCIEL ; 
MuchobÛr Ma≥y;SK”RZY—SKI MACIEJ MIKO£AJ ;32;POLITOLOG ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;WARDZY—SKI HENRYK  ;86;NAUCZYCIEL MAGISTER FIZYKI ; 
MuchobÛr Ma≥y;WASILEWSKA IRENA HALINA ;71;EMERYTOWANY NAUCZYCIEL ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;DUSZA MIROS£AW ANDRZEJ ;32;INFORMATYK ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;GIDASZEWSKA MARIANNA KAZIMIERA ;81;EMERYT ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;GLI—SKI CZES£AW WOJCIECH ;53;WYØSZE PRAWNICZE ; 
MuchobÛr Ma≥y;KLISIEWICZ RAFA£  ;27;åREDNIE ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;LACHOWICZ MACIEJ KRZYSZTOF ;37;PRZEDSI BIORCA ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;MISZCZYK MARCIN JAN ;39;PRZEDSI BIORCA ;NASZ MUCHOB”R 
MuchobÛr Ma≥y;MIZURO WOJCIECH ZDZIS£AW ;37;EKONOMISTA ; 
MuchobÛr Ma≥y;SU£OT MATEUSZ  ;35;TAPICER ;NASZ MUCHOB”R 
MuchobÛr Wielki;ADAMOWICZ JAN  ;69;TECHNIK BUDOWNICTWA ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;BORSUK ANDRZEJ KONRAD ;49;PRZEDSI BIORCA ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;CIS£O DANIEL MICHA£ ;34;TECHNIK EKONOMISTA ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;CIS£O IWONA MA£GORZATA ;34;PEDAGOG ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;DUMYCZ DAMIAN DARIUSZ ;18;UCZE— ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;F•FEREK MI£OSZ  ;22;STUDENT POLITECHNIKI ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;GEISLER £UKASZ  ;33;INFORMATYK ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;G”RAL JAROS£AW  ;46;TECHNIK BUDOWNICTWA WODNEGO ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;JAØDØYK EWA MARIA ;43;CHEMIK ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;KAPYSZ AGNIESZKA  ;33;OPIEKUN MEDYCZNY ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;KILIAN LILIA  ;60;MAGISTER FIZYKI ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;K£YSA W£ADYS£AW ADAM ;58;TECHNIK MECHANIK ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;KUCHARSKI TOMASZ PAWE£ ;39;PRZEDSI BIORCA ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;KURGAN ANNA DOROTA ;43;PRACOWNIK SAMORZ•DOWY;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;M KARSKI MARCIN ZYGMUNT ;43;ZARZ•DCA NIERUCHOMOåCI ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;NEMå KRZYSZTOF ZYGMUNT ;48;DYSPOZYTOR LOGISTYK ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;OLCH”WKA MAREK  ;19;STUDENT PRAWA ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;STAWICKI S£AWOMIR MAREK ;40;GRAFIK ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;STERC PIOTR STEFAN ;19;STUDENT INFORMATYKI ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;STRZELECKI MARIUSZ  ;31;NAUCZYCIEL ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;SUROPEK WIES£AW MAKSYMILIAN ;57;ARCHITEKT ;NIE ZRZESZONY BEZPARTYJNY 
MuchobÛr Wielki;SZCZYKOWSKI JACEK ANDRZEJ ;36;GEODETA ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;SZKUDLARSKI TOMASZ FRANCISZEK ;26;INFORMATYK ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;SZKWERKO KATARZYNA  ;34;MAGISTER TURYSTYKI I REKREACJI ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;SZYLKO ADAM  ;38;KIEROWNIK SPEDYCJI ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;TYLKOWSKI BART£OMIEJ ARKADIUSZ ;30;INFORMATYK ;KONSTRUKTYWNY MUCHOB”R 
MuchobÛr Wielki;WIåNIEWSKA WIOLETA LUDWIKA ;32;TECHNIK TECHNOLOGI ODZIEØY ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;WIåNIEWSKI GABRIEL MICHA£ ;42;TECHNIK TECHNOLOGI ØYWNOåCI ;MUCHOB”RWIELKI.PL 
MuchobÛr Wielki;WO£•SEWICZ JOLANTA MARIA ;68;MAGISTER GEOGRAFII ;MUCHOB”RWIELKI.PL 
Nadodrze;ADAMSKI MARIAN FRANCISZEK ;74; ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;BIELI—SKA AGNIESZKA ANNA ;44;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;DUDEK MAREK ZBIGNIEW ;63;PRZEDSI BIORCA ;NOWE NADODRZE 
Nadodrze;FERE—SKI PIOTR JAKUB ;38;HISTORYK ;NOWE NADODRZE 
Nadodrze;HORAK EUGENIA URSZULA ;65;INØYNIER CHEMIK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;KAMECKA JOANNA EMILIA ;34;WYØSZE ;NOWE NADODRZE 
Nadodrze;KUNA ARKADIUSZ £UKASZ ;28;ANALITYK ;NOWE NADODRZE 
Nadodrze;KWAåNIAK ALEKSANDRA  ;54;SPRZEDAWCA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;LIS BART£OMIEJ MARIAN ;37;SOCJOLOG ;NOWE NADODRZE 
Nadodrze;MISIEWICZ JUSTYNA WANDA ;43;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;NASKR CKA DANUTA MA£GORZATA ;56;RENCISTA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;NIENARTOWICZ BEATA MA£GORZATA ;32;NAUCZYCIEL AKADEMICKI ;NOWE NADODRZE 
Nadodrze;OB£•K ALEKSANDER MAREK ;22;PRACOWNIK BRANØY IT ;NOWE NADODRZE 
Nadodrze;PIWKO KATARZYNA ANNA ;30;POLITOLOG ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;RATAJCZAK LUCYNA STANIS£AWA ;57;GASTRONOM ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;ROMANOWSKA DOROTA  ;35;TEAM LEADER IT SPECJALIST ;NOWE NADODRZE 
Nadodrze;SKOCZYLAS JERZY J”ZEF ;63;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;SM TEK J”ZEF  ;47;PIEL GNIARZ ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;SOCHA—CZAK ALEKSANDRA MARTA ;32;PRZEDSI BIORCA ;NOWE NADODRZE 
Nadodrze;BUSZEK JOANNA  ;44;BANKOWOå∆ ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;CABAN ALICJA  ;44;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;DUCHNOWSKA IZABELA MARIA ;45;MENADØER KULTURY ;NOWE NADODRZE 
Nadodrze;GA£ CKA JADWIGA  ;63;KSI GOWA ;ZIELONY WROC£AW 
Nadodrze;KO£ODZIEJ KAZIMIERZ ADAM ;59;INSTRUKTOR PI£KI NOØNEJ ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;LITWINIEC MICHA£ ADAM ;46;MUZYK ;NOWE NADODRZE 
Nadodrze;LUPOMESKY JAN  ;32;PRZEDSI BIORCA ;NOWE NADODRZE 
Nadodrze;MICIUK AGNIESZKA  ;46;URZ DNIK ADMINISTRACJI ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;OLSZEWSKI BERNARD  ;56;ZAWODOWE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;PA£YSA EDWARD  ;68;EMERYT ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;REISIGOV√-KIELAWSKI ROBERT PAWE£ ;34;NAUCZYCIEL AKADEMICKI ;ZIELONY WROC£AW 
Nadodrze;SAWIDIS EWA  ;43;HANDLOWIEC ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;SAWIDIS SAWAS  ;53;ELEKTRYK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;SPOREK MARCIN £UKASZ ;20;STUDENT ;NOWE NADODRZE 
Nadodrze;STECIUK JAROS£AW ROBERT ;50;GEODETA ;NADODRZE-SAMI SWOI 
Nadodrze;SZNERCH JERZY ANTONI ;62;åREDNIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;ZYGAD£O MA£GORZATA  ;44;GASTRONOM ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nadodrze;ZYGAD£O MAREK DARIUSZ ;45;ELEKTROMONTER ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Nowy DwÛr;BORCZYK KRZYSZTOF  ;48;åREDNIE ; 
Nowy DwÛr;KRAWCZYK ANNA  ;57;PEDAGOG ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;NIEMENTOWSKA KRYSTYNA HENRYKA ;66;WYØSZE TECHNICZNE ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;OLBERT KRZYSZTOF  ;55;EMERYTOWANY STRAØAK ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;OSTROWSKA JANINA MARIA ;69;TECHNIK ELEKTRONIK ; 
Nowy DwÛr;SEKULSKI JERZY KAZIMIERZ ;74;TOKARZ EMERYT ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;WOJTUå ELØBIETA ANNA ;34;ADMINISTRACJA BIUROWA ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;GALEJ W£ADYS£AWA ROZALIA ;65;PIEL GNIARKA ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;IWANCZEWSKI MACIEJ ROMAN ;39;PROGRAMISTA BAZ DANYCH ; 
Nowy DwÛr;KOBRY— LESZEK CZES£AW ;59;BUDOWLANIEC ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;MOLENDA MA£GORZATA  ;36;MGR NAUK SPO£ECZNYCH ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;SELUCHA MICHA£ TOMASZ ;24;WYØSZE ;WSP”LNIE DLA NOWEGO DWORU 
Nowy DwÛr;WEGNEROWICZ-KIEDA LUCYNA BEATA ;46;NAUCZYCIEL ;WSP”LNIE DLA NOWEGO DWORU 
